,movie,year,imdb,metascore,votes
541,Once Upon a Time... in Hollywood,2019,7.6,84,841K
542,Knives Out,2019,7.9,82,770K
543,1917,2019,8.2,78,670K
544,Captain Marvel,2019,6.8,64,608K
545, Spider-Man: Far from Home,2019,7.4,69,553K
546, Star Wars: The Rise of Skywalker,2019,6.4,53,491K
547, Ford v Ferrari,2019,8.1,81,465K
548, Jojo Rabbit,2019,7.9,58,439K
549, The Irishman,2019,7.8,94,429K
550, John Wick: Chapter 3 - Parabellum,2019,7.4,73,423K
551, Midsommar,2019,7.1,72,399K
552, The Gentlemen,2019,7.8,51,391K
553, Shazam!,2019,7.0,71,383K
554, Marriage Story,2019,7.9,94,345K
555, Us,2019,6.8,81,339K
556, Uncut Gems,2019,7.4,93,316K
557, It Chapter Two,2019,6.5,58,300K
558, Alita: Battle Angel,2019,7.3,53,292K
559, El Camino: A Breaking Bad Movie,2019,7.3,72,290K
560, Aladdin,2019,6.9,53,289K
561, Jumanji: The Next Level,2019,6.7,58,281K
562, Toy Story 4,2019,7.7,84,279K
563, El hoyo,2019,7.0,73,270K
564, The Lion King,2019,6.8,55,266K
565, Glass,2019,6.6,43,266K
566, Ad Astra,2019,6.5,80,259K
567, The Lighthouse,2019,7.4,83,253K
568, Little Women,2019,7.8,91,243K
569, Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,235K
570, Doctor Sleep,2019,7.3,59,217K
571, Dark Phoenix,2019,5.7,43,204K
572, Godzilla: King of the Monsters,2019,6.0,48,204K
573, Zombieland: Double Tap,2019,6.7,55,201K
574, 6 Underground,2019,6.1,41,196K
575, Rocketman,2019,7.3,69,194K
576, Frozen II,2019,6.8,64,193K
577,Joker,2019,8.4,59,1.5M
578,Avengers: Endgame,2019,8.4,78,1.3M
579,Parasite,2019,8.5,97,949K
580,Once Upon a Time... in Hollywood,2019,7.6,84,841K
581,Knives Out,2019,7.9,82,770K
582,1917,2019,8.2,78,670K
583,Captain Marvel,2019,6.8,64,608K
584, Spider-Man: Far from Home,2019,7.4,69,553K
585, Star Wars: The Rise of Skywalker,2019,6.4,53,491K
586, Ford v Ferrari,2019,8.1,81,465K
587, Jojo Rabbit,2019,7.9,58,439K
588, The Irishman,2019,7.8,94,429K
589, John Wick: Chapter 3 - Parabellum,2019,7.4,73,423K
590, Midsommar,2019,7.1,72,399K
591, The Gentlemen,2019,7.8,51,391K
592, Shazam!,2019,7.0,71,383K
593, Marriage Story,2019,7.9,94,345K
594, Us,2019,6.8,81,339K
595, Uncut Gems,2019,7.4,93,316K
596, It Chapter Two,2019,6.5,58,300K
597, Alita: Battle Angel,2019,7.3,53,292K
598, El Camino: A Breaking Bad Movie,2019,7.3,72,290K
599, Aladdin,2019,6.9,53,289K
600, Jumanji: The Next Level,2019,6.7,58,281K
601, Toy Story 4,2019,7.7,84,279K
602, El hoyo,2019,7.0,73,270K
